Carimbo de data/hora,Pontuação,Qual curso você faz?,Qual nível você acredita que um chatbot pode ser útil como ferramenta de busca de conhecimento em sua área acadêmica?,Você atualmente usa mais o chatGPT ou outras ferramentas de pesquisa?,Você já referenciou o ChatGPT depois de utilizá-lo como fonte de pesquisa em um trabalho acadêmico.,Como você avalia a eficácia do ChatGPT em relação a outras ferramentas ou métodos utilizados em atividades acadêmicas?,"Eu concordo em participar voluntariamente do presente estudo como participante. Tenho ciência de que os dados por mim fornecidos serão utilizados para análises estatísticas sobre o tema desta pesquisa e os resultados serão divulgados apenas para fins acadêmicos, sem divulgação de nenhum tipo de informações pessoais e garantindo a privacidade dos respondentes.

Os Termos e Condições na íntegra encontram-se no link abaixo:
Termos & Consentimento"
24/04/2023 21:40:26,,Ciências Contábeis,Muito útil,"Os dois, porém uso mais outras ferramentas",Indiferente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/04/2023 21:42:26,,Direito,Muito útil,"Os dois, igualmente.",Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/04/2023 21:42:44,,Ciência da Computação,Muito útil,Praticamente não uso o ChatGPT,Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/04/2023 21:46:53,,Ciência da Computação,Útil,"Os dois, porém uso mais outras ferramentas",Indiferente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/04/2023 22:27:04,,Ciência da Computação,Útil,"Os dois, igualmente.",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/04/2023 04:22:36,,Ciência da Computação,Muito útil,Praticamente não uso o ChatGPT,Indiferente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/04/2023 09:44:25,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Concordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
25/04/2023 11:46:50,,Outro,Muito útil,Praticamente só ChatGPT,Concordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/04/2023 15:23:46,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
25/04/2023 17:20:48,,Ciência da Computação,Útil,"Os dois, igualmente.",Discordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 19:58:44,,Ciência da Computação,Muito útil,Praticamente só ChatGPT,Discordo totalmente,Regular,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 19:59:56,,Ciência da Computação,Muito útil,Praticamente só ChatGPT,Concordo,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:01:31,,Ciência da Computação,Muito útil,"Os dois, porém uso mais o ChatGPT",Discordo,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:07:14,,Ciência da Computação,Muito útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Excelente,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:17:36,,Letras,Útil,"Os dois, porém uso mais o ChatGPT",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:17:59,,Outro,Útil,"Os dois, porém uso mais outras ferramentas",Discordo totalmente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
24/05/2023 20:19:34,,Ciência da Computação,Muito útil,"Os dois, igualmente.",Indiferente,Bom,Concordo e Aceito Os Termos e Condições da Pesquisa
